eventID,occurenceID,associatedSequences,basisOfRecord,preparations,organismQuantity,organismQuantityType,identificationRemarks,taxonConceptID,nameAccordingTo,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank
Jaedraas-B,ERS3508483-ASV_000012,,MATERIAL_SAMPLE,DNA extract,118,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000012,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000014,,MATERIAL_SAMPLE,DNA extract,1753,DNA sequence reads,,,,ASV_000014,,,,,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000011,,MATERIAL_SAMPLE,DNA extract,29,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000011,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000013,,MATERIAL_SAMPLE,DNA extract,155,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1509505.08FU,http://dx.doi.org/10.15156/BIO/SH1509505.08FU,ASV_000013,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,fucatum,UNRANKED
Jaedraas-B,ERS3508483-ASV_000015,,MATERIAL_SAMPLE,DNA extract,1580,DNA sequence reads,SINTAX confidence 0.98 to species level for ITS2 sequence,SH1644964.08FU,http://dx.doi.org/10.15156/BIO/SH1644964.08FU,ASV_000015,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,pinophilus,UNRANKED
Jaedraas-B,ERS3508483-ASV_000019,,MATERIAL_SAMPLE,DNA extract,3,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000019,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000017,,MATERIAL_SAMPLE,DNA extract,82,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1569597.08FU,http://dx.doi.org/10.15156/BIO/SH1569597.08FU,ASV_000017,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,densifolia,UNRANKED
Jaedraas-B,ERS3508483-ASV_000020,,MATERIAL_SAMPLE,DNA extract,719,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000020,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000016,,MATERIAL_SAMPLE,DNA extract,567,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000016,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000018,,MATERIAL_SAMPLE,DNA extract,905,DNA sequence reads,SINTAX confidence 0.99 to genus level for ITS2 sequence,,,ASV_000018,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Pezoloma,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000024,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000024,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000023,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000023,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000021,,MATERIAL_SAMPLE,DNA extract,930,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000021,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000022,,MATERIAL_SAMPLE,DNA extract,839,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000022,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000025,,MATERIAL_SAMPLE,DNA extract,742,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1555175.08FU,http://dx.doi.org/10.15156/BIO/SH1555175.08FU,ASV_000025,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,bovinus,UNRANKED
Jaedraas-B,ERS3508483-ASV_000029,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000029,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000026,,MATERIAL_SAMPLE,DNA extract,83,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1564287.08FU,http://dx.doi.org/10.15156/BIO/SH1564287.08FU,ASV_000026,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,tristis,UNRANKED
Jaedraas-B,ERS3508483-ASV_000027,,MATERIAL_SAMPLE,DNA extract,702,DNA sequence reads,SINTAX confidence 1.00 to family level for ITS2 sequence,,,ASV_000027,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000028,,MATERIAL_SAMPLE,DNA extract,708,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1567121.08FU,http://dx.doi.org/10.15156/BIO/SH1567121.08FU,ASV_000028,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,aeruginea,UNRANKED
Jaedraas-B,ERS3508483-ASV_000030,,MATERIAL_SAMPLE,DNA extract,216,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1569597.08FU,http://dx.doi.org/10.15156/BIO/SH1569597.08FU,ASV_000030,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,densifolia,UNRANKED
Jaedraas-B,ERS3508483-ASV_000031,,MATERIAL_SAMPLE,DNA extract,392,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000031,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000035,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000035,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000034,,MATERIAL_SAMPLE,DNA extract,541,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000034,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000038,,MATERIAL_SAMPLE,DNA extract,1,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000038,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000033,,MATERIAL_SAMPLE,DNA extract,79,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000033,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000037,,MATERIAL_SAMPLE,DNA extract,3,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000037,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000032,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 0.99 to genus level for ITS2 sequence,,,ASV_000032,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000036,,MATERIAL_SAMPLE,DNA extract,513,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000036,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000040,,MATERIAL_SAMPLE,DNA extract,439,DNA sequence reads,SINTAX confidence 1.00 to family level for ITS2 sequence,,,ASV_000040,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000041,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1571571.08FU,http://dx.doi.org/10.15156/BIO/SH1571571.08FU,ASV_000041,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,fibrillosa,UNRANKED
Jaedraas-B,ERS3508483-ASV_000043,,MATERIAL_SAMPLE,DNA extract,353,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000043,Fungi,Basidiomycota,Tritirachiomycetes,Tritirachiales,Tritirachiaceae,Paratritirachium,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000045,,MATERIAL_SAMPLE,DNA extract,189,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000045,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000042,,MATERIAL_SAMPLE,DNA extract,13,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000042,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000044,,MATERIAL_SAMPLE,DNA extract,366,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000044,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000048,,MATERIAL_SAMPLE,DNA extract,208,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000048,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000046,,MATERIAL_SAMPLE,DNA extract,377,DNA sequence reads,SINTAX confidence 1.00 to family level for ITS2 sequence,,,ASV_000046,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000047,,MATERIAL_SAMPLE,DNA extract,379,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1567121.08FU,http://dx.doi.org/10.15156/BIO/SH1567121.08FU,ASV_000047,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,aeruginea,UNRANKED
Jaedraas-B,ERS3508483-ASV_000049,,MATERIAL_SAMPLE,DNA extract,11,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1571571.08FU,http://dx.doi.org/10.15156/BIO/SH1571571.08FU,ASV_000049,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,fibrillosa,UNRANKED
Jaedraas-B,ERS3508483-ASV_000050,,MATERIAL_SAMPLE,DNA extract,88,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000050,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000055,,MATERIAL_SAMPLE,DNA extract,254,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000055,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000039,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000039,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000054,,MATERIAL_SAMPLE,DNA extract,269,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000054,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000053,,MATERIAL_SAMPLE,DNA extract,333,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000053,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000056,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to family level for ITS2 sequence,,,ASV_000056,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000052,,MATERIAL_SAMPLE,DNA extract,1,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1544806.08FU,http://dx.doi.org/10.15156/BIO/SH1544806.08FU,ASV_000052,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,sphaerosporum,UNRANKED
Jaedraas-B,ERS3508483-ASV_000051,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to family level for ITS2 sequence,,,ASV_000051,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000057,,MATERIAL_SAMPLE,DNA extract,198,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000057,Fungi,Basidiomycota,GS25,GS25,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000059,,MATERIAL_SAMPLE,DNA extract,277,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1556760.08FU,http://dx.doi.org/10.15156/BIO/SH1556760.08FU,ASV_000059,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,finlayi,UNRANKED
Jaedraas-B,ERS3508483-ASV_000063,,MATERIAL_SAMPLE,DNA extract,36,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000063,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000064,,MATERIAL_SAMPLE,DNA extract,131,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000064,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000061,,MATERIAL_SAMPLE,DNA extract,115,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000061,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000065,,MATERIAL_SAMPLE,DNA extract,222,DNA sequence reads,SINTAX confidence 1.00 to family level for ITS2 sequence,,,ASV_000065,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000066,,MATERIAL_SAMPLE,DNA extract,9,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000066,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000058,,MATERIAL_SAMPLE,DNA extract,245,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000058,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000060,,MATERIAL_SAMPLE,DNA extract,8,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000060,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000062,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000062,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leptodontidium,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000067,,MATERIAL_SAMPLE,DNA extract,4,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1544806.08FU,http://dx.doi.org/10.15156/BIO/SH1544806.08FU,ASV_000067,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,sphaerosporum,UNRANKED
Jaedraas-B,ERS3508483-ASV_000068,,MATERIAL_SAMPLE,DNA extract,18,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000068,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000073,,MATERIAL_SAMPLE,DNA extract,3,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000073,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000070,,MATERIAL_SAMPLE,DNA extract,39,DNA sequence reads,SINTAX confidence 0.98 to order level for ITS2 sequence,,,ASV_000070,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000069,,MATERIAL_SAMPLE,DNA extract,5,DNA sequence reads,SINTAX confidence 1.00 to family level for ITS2 sequence,,,ASV_000069,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000071,,MATERIAL_SAMPLE,DNA extract,154,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000071,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000077,,MATERIAL_SAMPLE,DNA extract,146,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1522247.08FU,http://dx.doi.org/10.15156/BIO/SH1522247.08FU,ASV_000077,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,dimorpha,UNRANKED
Jaedraas-B,ERS3508483-ASV_000076,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to family level for ITS2 sequence,,,ASV_000076,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000072,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 0.99 to species level for ITS2 sequence,SH1505976.08FU,http://dx.doi.org/10.15156/BIO/SH1505976.08FU,ASV_000072,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,camphoratus,UNRANKED
Jaedraas-B,ERS3508483-ASV_000074,,MATERIAL_SAMPLE,DNA extract,171,DNA sequence reads,SINTAX confidence 1.00 to phylum level for ITS2 sequence,,,ASV_000074,Fungi,Ascomycota,,,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000075,,MATERIAL_SAMPLE,DNA extract,1,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000075,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000078,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to family level for ITS2 sequence,,,ASV_000078,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000082,,MATERIAL_SAMPLE,DNA extract,111,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000082,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000079,,MATERIAL_SAMPLE,DNA extract,83,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000079,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000081,,MATERIAL_SAMPLE,DNA extract,216,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000081,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000084,,MATERIAL_SAMPLE,DNA extract,43,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000084,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000086,,MATERIAL_SAMPLE,DNA extract,3,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000086,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000080,,MATERIAL_SAMPLE,DNA extract,131,DNA sequence reads,SINTAX confidence 1.00 to phylum level for ITS2 sequence,,,ASV_000080,Fungi,Ascomycota,,,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000085,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000085,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000083,,MATERIAL_SAMPLE,DNA extract,4,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000083,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000088,,MATERIAL_SAMPLE,DNA extract,23,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000088,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000087,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000087,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000090,,MATERIAL_SAMPLE,DNA extract,147,DNA sequence reads,SINTAX confidence 1.00 to genus level for ITS2 sequence,,,ASV_000090,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,UNRANKED
Jaedraas-B,ERS3508483-ASV_000089,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to species level for ITS2 sequence,SH1523786.08FU,http://dx.doi.org/10.15156/BIO/SH1523786.08FU,ASV_000089,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Pezoloma,ericae,UNRANKED
Jaedraas-B,ERS3508483-ASV_000092,,MATERIAL_SAMPLE,DNA extract,0,DNA sequence reads,SINTAX confidence 1.00 to order level for ITS2 sequence,,,ASV_000092,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,UNRANKED
